"postal_code","street","city"
15621,"354 Florence Crossing","Athens"
16668,"73 Pearson Way","Athens"
16017,"25120 Novick Road","Patras"
16603,"253 Eagle Crest Drive","Athens"
15441,"821 Grayhawk Junction","Thessaloniki"
13647,"41 Hanover Place","Patras"
16720,"0 Bluestem Crossing","Athens"
11090,"19 Spaight Parkway","Thessaloniki"
10847,"239 Mallard Court","Thessaloniki"
10737,"01374 Mccormick Center","Thessaloniki"
12899,"23 Elgar Way","Patras"
17546,"67 Kennedy Circle","Athens"
10915,"47 School Point","Athens"
11379,"848 Rusk Hill","Athens"
17394,"367 Longview Avenue","Athens"
13996,"7 Gale Park","Patras"
19702,"843 Park Meadow Park","Patras"
11725,"76 Coleman Circle","Thessaloniki"
18198,"742 Harper Court","Thessaloniki"
18013,"2796 Summerview Plaza","Athens"
10654,"01 2nd Alley","Athens"
11797,"3 Springs Drive","Athens"
16634,"1 Dexter Street","Athens"
11109,"218 Weeping Birch Place","Thessaloniki"
10134,"3468 Hanson Pass","Thessaloniki"
18192,"017 Comanche Court","Athens"
13480,"41 Nancy Road","Thessaloniki"
14407,"5363 Michigan Parkway","Thessaloniki"
14865,"0540 La Follette Street","Patras"
19596,"80122 Bonner Alley","Athens"
