"grade","assessment_date"
5,"2022-05-29"
10,"2023-04-24"
4,"2022-10-19"
8,"2022-12-28"
2,"2022-11-12"
3,"2022-08-29"
9,"2022-06-07"
3,"2022-08-01"
3,"2022-09-18"
2,"2023-03-28"
10,"2022-06-18"
6,"2022-06-27"
7,"2023-02-23"
10,"2022-08-10"
1,"2022-10-11"
1,"2022-06-16"
7,"2022-06-05"
4,"2023-01-19"
5,"2022-08-28"
7,"2022-12-21"
3,"2022-10-03"
7,"2023-03-25"
10,"2023-04-11"
4,"2023-03-29"
8,"2023-02-10"
9,"2023-01-31"
10,"2023-02-18"
2,"2022-08-21"
7,"2022-08-04"
10,"2022-10-21"
2,"2022-09-08"
4,"2022-05-30"
5,"2022-11-30"
6,"2023-02-10"
3,"2022-07-24"
10,"2022-12-22"
6,"2023-04-23"
2,"2023-01-19"
9,"2022-06-14"
3,"2022-11-17"
9,"2022-07-08"
10,"2022-06-19"
8,"2022-12-13"
5,"2022-07-09"
8,"2022-10-18"
7,"2022-08-12"
4,"2023-03-01"
9,"2022-12-15"
8,"2023-03-30"
1,"2022-10-17"
4,"2023-02-02"
1,"2023-03-23"
8,"2022-07-02"
9,"2022-12-03"
2,"2022-07-10"
8,"2022-09-30"
9,"2023-02-23"
3,"2022-08-04"
7,"2022-10-22"
6,"2022-11-25"
